source,text_raw,relevant
Pennon Group 2021,Foreign currency risk occurs at transactional and translation level from borrowings and transactions in foreign currencies.,1
Pennon Group 2021,"These risks are managed through forward contracts, which provide certainty over foreign currency risk.",1
Pennon Group 2021,The Group also has a small amount of Euro denominated debt on which the foreign currency risk has been managed through cross currency swaps.,1
Rotork plc 2021,The major currencies impacting the income statement are the US dollar and the Euro.,1
Rotork plc 2021,"The US dollar/sterling average rate of $1.38 (2020: $1.28) was a 10 cent headwind, whilst the euro/sterling average rate was  €1.16 (2020: €1.12), a 4 cent headwind.",1
Rotork plc 2021,The impact of currency on the Group is both translational and transactional.,1
Rotork plc 2021,"The Group uses financial instruments where appropriate to hedge significant currency transactions, principally forward exchange contracts and swaps.",1
Rotork plc 2021,"In assessing the level of cash flows to hedge with forward exchange contracts, the maximum cover taken is 75% of net forecast flows.",1
Rotork plc 2021,The Group uses forward exchange contracts and swaps to hedge its exposure to foreign exchange risk arising from operational and financing activities.,1
Rotork plc 2021,"The Group Treasury department is not a profit centre and, therefore, does not undertake speculative foreign exchange dealings for which there is no underlying exposure.",1
Rotork plc 2021,Exposures resulting from sales and purchases in foreign currency are matched where possible and the net exposure are hedged.,1
Rotork plc 2021,The Group hedges up to 75% of forecast US dollar or euro foreign currency exposures using forward exchange contracts.,1
Rotork plc 2021,In respect of other non-sterling monetary assets and liabilities the exposures may also be hedged up to 75% where this is deemed appropriate.,1
Rotork plc 2021,Forward exchange contracts in place at 31 December 2021 mature in 2022 and 2023.,1
Rotork plc 2021,"The net fair value of foreign exchange contracts used as hedges at 31 December 2021 was a €1,790,000 asset (2020: €1,414,000 asset) comprising an asset of €1,896,000 (2020: €1,582,000) and a liability of €106,000 (2020: €168,000).",1
Derwent London 2021,"--- [ ""All of the Group's properties are based in the UK"" ]",1
easyJet plc 2021,"Due to the additional foreign currency debt brought onto balance sheet, easyJet has become more exposed to FX revaluation through the P&L.",1
easyJet plc 2021,Throughout the year easyJet has continued to hedge a proportion of its future lease liability payments using USD foreign exchange derivatives.,1
easyJet plc 2021,"The majority of easyJet's exposure to currency arises from fluctuations in the USD, EUR and CHF exchange rates which can significantly impact easyJet's financial results and cash flows",1
easyJet plc 2021,Significant currency exposures in the income statement are managed through the use of currency forward contracts entered into cash flow hedge relationships.,1
easyJet plc 2021,"Throughout the year the policy stated that easyJet hedged between 65% - 85% of the next 12 months’ forecast surplus operating cash flows on a rolling basis, and 45% - 65% of the following 12 months’ forecast surplus operating cash flows on a rolling basis (excluding those related to easyJet holidays).",1
easyJet plc 2021,Significant currency exposures relating to foreign currency denominated Eurobond issuances are managed through the use of cross-currency interest rate swap contracts where deemed appropriate.,1
easyJet plc 2021,"easyJet has substantial borrowings and other monetary liabilities denominated in USD and EUR, which are largely offset by holding USD and EUR cash and money market deposits.",1
easyJet plc 2021,FX forward contracts are also used to manage foreign exchange translation risk.,1
easyJet plc 2021,A weighted average GBP/EUR foreign exchange hedge rate of 1.19.,1
easyJet plc 2021,All foreign exchange contracts in a cash flow hedge relationship are designated on a forward basis with the full fair value as the hedge instrument.,1
easyJet plc 2021,easyJet’s normal rolling foreign exchange and commodity hedging policies have been reduced in order to mitigate the potential for further over hedging.,1
